nParticles time        niter leaf
         1 0.00102379  2048  17
         2 0.00103922  2048  17
         4 0.00113405  2048  17
         8 0.00131625  1024  17
        16 0.00178464  1024  17
        32 0.0060051    256  17
        64 0.0180354    128  17
       128 0.0641999     32  17
       256 0.167089       8  17
       512 0.415656       4  17
      1024 0.958218       2  17
      2048 2.01333        1  17
      4096 4.63242        1  17
      8192 9.82607        1  17
     16384 22.5105        1  17
     32768 48.692         1  17
     65536 99.4567        1  17
    131072 187.321        1  17
    262144 403.183        1  17
    524288 792.465        1  17
   1048576 1608.26        1  17
