nParticles time        niter leaf
         1 0.0010337   2048  25
         2 0.00107693  2048  25
         4 0.0011779   1024  25
         8 0.00134697  1024  25
        16 0.00181388  1024  25
        32 0.00473369   256  25
        64 0.0119005    128  25
       128 0.0474167     32  25
       256 0.13722       16  25
       512 0.355234       4  25
      1024 0.836502       2  25
      2048 1.75852        1  25
      4096 3.81988        1  25
      8192 8.384          1  25
     16384 18.8845        1  25
     32768 88.8712        1  25
     65536 88.3759        1  25
    131072 172.896        1  25
    262144 354.942        1  25
    524288 715.87         1  25
   1048576 1417.99        1  25
